Date,Open,High,Low,Close,Volume
2025-05-07 09:30:00-04:00,199.19500732421875,199.2949981689453,198.13999938964844,198.57000732421875,3730193
2025-05-07 09:35:00-04:00,198.52999877929688,198.57000732421875,197.35000610351562,197.90960693359375,996351
2025-05-07 09:40:00-04:00,197.89999389648438,198.47000122070312,197.77000427246094,198.3300018310547,692304
2025-05-07 09:45:00-04:00,198.32000732421875,198.69000244140625,197.72000122070312,197.96890258789062,876035
2025-05-07 09:50:00-04:00,197.9600067138672,198.11000061035156,197.72000122070312,197.87120056152344,591867
2025-05-07 09:55:00-04:00,197.86500549316406,198.08970642089844,197.67999267578125,197.80499267578125,487792
2025-05-07 10:00:00-04:00,197.80499267578125,198.2718963623047,197.75,198.2371063232422,505499
2025-05-07 10:05:00-04:00,198.2100067138672,198.82989501953125,198.14840698242188,198.72000122070312,479400
2025-05-07 10:10:00-04:00,198.72999572753906,199.13999938964844,198.67999267578125,199.07000732421875,509383
2025-05-07 10:15:00-04:00,199.07000732421875,199.21009826660156,198.8300018310547,198.94000244140625,352253
2025-05-07 10:20:00-04:00,198.9499969482422,199.44000244140625,198.8000030517578,199.32000732421875,381732
2025-05-07 10:25:00-04:00,199.33999633789062,199.38059997558594,199.05999755859375,199.22000122070312,269102
2025-05-07 10:30:00-04:00,199.2270050048828,199.39999389648438,198.85000610351562,198.97000122070312,243916
2025-05-07 10:35:00-04:00,198.98500061035156,199.10000610351562,198.89999389648438,199.00999450683594,244355
2025-05-07 10:40:00-04:00,199.00999450683594,199.1999969482422,198.9403076171875,199.00999450683594,308964
2025-05-07 10:45:00-04:00,199.0001983642578,199.0500030517578,198.6999969482422,198.77000427246094,228451
2025-05-07 10:50:00-04:00,198.75,198.82000732421875,197.61000061035156,197.72000122070312,792009
2025-05-07 10:55:00-04:00,197.6999969482422,197.99000549316406,197.44000244140625,197.47000122070312,706016
2025-05-07 11:00:00-04:00,197.47999572753906,197.5,196.4199981689453,196.46499633789062,1156470
2025-05-07 11:05:00-04:00,196.47999572753906,196.5500030517578,195.1699981689453,195.42999267578125,1525435
2025-05-07 11:10:00-04:00,195.4199981689453,195.8800048828125,194.22999572753906,194.40499877929688,2031945
2025-05-07 11:15:00-04:00,194.42999267578125,194.9600067138672,193.9199981689453,194.19500732421875,1760321
2025-05-07 11:20:00-04:00,194.1999053955078,194.82000732421875,193.80999755859375,194.49000549316406,1429859
2025-05-07 11:25:00-04:00,194.49000549316406,194.55999755859375,194.00999450683594,194.35069274902344,755129
